DATE,CLOSING_TL,LOW_TL,HIGH_TL,VOLUME_TL,CLOSING_USD,LOW_USD,HIGH_USD,VOLUME_USD,XU100_TL,XU100_USD,CODE
2023-10-26,143.0,143.0,143.0,92772823.0,5.0794,5.0794,5.0794,3295285.1896,7662.05,272.15815923076923,tabgd
2023-10-27,157.3,157.3,157.3,87006720.0,5.5827,5.5827,5.5827,3087917.9458,7706.41,273.50651689129046,tabgd
2023-10-30,173.0,173.0,173.0,243656660.0,6.1228,6.1228,6.1228,8623427.1922,7712.85,272.9724738728324,tabgd
2023-10-31,190.3,180.8,190.3,5327659026.0,6.7274,6.3915,6.7274,188340357.4029,7514.1,265.63508323699426,tabgd
2023-11-01,178.6,176.1,207.8,9780324546.0,6.3154,6.227,7.3479,345838916.0537,7528.57,266.214619137738,tabgd
2023-11-02,163.3,163.3,178.6,4061874833.0,5.7587,5.7587,6.2982,143239124.7756,7663.62,270.25406303735457,tabgd
2023-11-03,164.9,160.1,172.5,2210779161.0,5.8065,5.6375,6.0742,77847077.7492,7705.99,271.3452452092177,tabgd
